"repo","remote","branch","dirty","ahead"
"C:\Users\UsEr\cookierun-bot","git@github-cookierun:PASAKON/MoonieX-CookieRun.git","main","235","0"
"C:\Users\UsEr\projects\LLMs","https://github.com/golfmaichai1/mooniex-llms-wiki.git","main","40","0"
"C:\Users\UsEr\projects\mooniex-line-automation","https://github.com/PASAKON/mooniex-line-automation.git","main","0","0"
"C:\Users\UsEr\projects\mooniex-option","https://github.com/golfmaichai1/mooniex-option.git","windows-iqoption-port","0","0"
"C:\Users\UsEr\projects\mooniex-webapp","https://github.com/golfmaichai1/mooniex-webapp.git","bootstrap/landing-mvp","0",""
"C:\mooniex\agents","https://github.com/PASAKON/MoonieX-Agents.git","agent/codex-winbox-runner","3143","0"
"C:\mooniex\console","https://github.com/PASAKON/MoonieX-Console.git","agent/antigravity-login-relay","0","0"
