frame,t,yellow_frac
265,8.8333,0.00000
266,8.8667,0.00000
267,8.9000,0.00000
268,8.9333,0.00000
269,8.9667,0.00005
270,9.0000,0.00036
271,9.0333,0.00043
272,9.0667,0.00048
273,9.1000,0.00047
274,9.1333,0.00048
275,9.1667,0.00060
276,9.2000,0.00060
277,9.2333,0.00055
278,9.2667,0.00059
279,9.3000,0.00065
280,9.3333,0.00066
281,9.3667,0.00070
282,9.4000,0.00071
283,9.4333,0.00076
284,9.4667,0.00098
285,9.5000,0.00124
286,9.5333,0.00207
287,9.5667,0.00259
288,9.6000,0.00259
289,9.6333,0.00259
290,9.6667,0.00264
291,9.7000,0.00265
292,9.7333,0.00263
293,9.7667,0.00263
294,9.8000,0.00263
295,9.8333,0.00263
296,9.8667,0.00263
297,9.9000,0.00264
298,9.9333,0.00264
299,9.9667,0.00262
300,10.0000,0.00260
301,10.0333,0.00260
302,10.0667,0.00259
303,10.1000,0.00262
304,10.1333,0.00262
305,10.1667,0.00259
306,10.2000,0.00259
307,10.2333,0.00263
308,10.2667,0.00258
309,10.3000,0.00264
310,10.3333,0.00264
311,10.3667,0.00263
312,10.4000,0.00263
313,10.4333,0.00263
314,10.4667,0.00264
315,10.5000,0.00262
316,10.5333,0.00262
317,10.5667,0.00257
318,10.6000,0.00256
319,10.6333,0.00256
320,10.6667,0.00256
321,10.7000,0.00256
322,10.7333,0.00254
323,10.7667,0.00254
324,10.8000,0.00254
325,10.8333,0.00254
326,10.8667,0.00256
327,10.9000,0.00258
328,10.9333,0.00262
329,10.9667,0.00263
330,11.0000,0.00262
331,11.0333,0.00262
332,11.0667,0.00262
333,11.1000,0.00256
334,11.1333,0.00252
335,11.1667,0.00252
336,11.2000,0.00254
337,11.2333,0.00259
338,11.2667,0.00259
339,11.3000,0.00259
340,11.3333,0.00259
341,11.3667,0.00257
342,11.4000,0.00257
343,11.4333,0.00257
344,11.4667,0.00257
345,11.5000,0.00257
346,11.5333,0.00257
347,11.5667,0.00257
348,11.6000,0.00257
349,11.6333,0.00257
350,11.6667,0.00257
351,11.7000,0.00257
352,11.7333,0.00257
353,11.7667,0.00257
354,11.8000,0.00257
355,11.8333,0.00257
356,11.8667,0.00257
357,11.9000,0.00257
358,11.9333,0.00257
359,11.9667,0.00241
360,12.0000,0.00241
361,12.0333,0.00241
362,12.0667,0.00241
363,12.1000,0.00245
364,12.1333,0.00247
365,12.1667,0.00289
366,12.2000,0.00473
367,12.2333,0.00661
368,12.2667,0.00804
369,12.3000,0.00896
370,12.3333,0.01042
371,12.3667,0.01171
372,12.4000,0.01244
373,12.4333,0.01266
