t,rms_db,low_db,mid_db,high_db
0.0232,-14.24,-20.82,-16.26,-28.87
0.0348,-8.54,-9.34,-17.70,-30.52
0.0464,17.65,16.85,9.94,-16.94
0.0580,33.95,33.30,25.41,-8.16
0.0697,39.30,38.50,31.56,-3.10
0.0813,43.02,42.03,36.09,-0.56
0.0929,45.23,44.15,38.66,-0.51
0.1045,47.59,45.79,42.90,4.45
0.1161,50.49,45.79,48.68,13.63
0.1277,50.77,44.84,49.48,14.70
0.1393,49.25,43.59,47.85,12.89
0.1509,47.82,43.09,46.01,9.78
0.1625,47.61,43.49,45.46,6.70
0.1741,47.67,43.43,45.60,7.41
0.1858,47.02,42.68,45.01,7.91
0.1974,44.17,40.61,41.65,8.01
0.2090,36.98,35.62,31.13,6.33
0.2206,31.14,25.87,29.11,17.39
0.2322,31.99,22.61,31.08,19.91
0.2438,31.78,18.86,31.30,18.55
0.2554,33.76,21.38,33.23,20.36
0.2670,34.27,31.39,30.75,19.17
0.2786,40.89,39.29,35.69,16.51
0.2902,45.31,41.44,42.99,16.77
0.3019,47.88,40.46,46.95,21.16
0.3135,49.11,38.61,48.62,24.51
0.3251,49.64,36.47,49.36,24.86
0.3367,49.43,35.69,49.20,22.84
0.3483,48.36,36.37,48.05,19.14
0.3599,47.17,37.17,46.69,17.99
0.3715,46.93,37.47,46.38,20.61
0.3831,46.03,37.59,45.28,24.31
0.3947,42.29,35.84,40.92,25.41
0.4063,34.63,29.30,30.21,29.48
0.4180,35.79,26.74,19.86,34.86
0.4296,38.83,25.18,22.00,38.21
0.4412,40.82,19.13,27.34,39.96
0.4528,38.62,25.33,29.52,36.48
0.4644,33.44,28.23,29.44,25.04
0.4760,37.67,33.92,35.16,14.86
0.4876,40.42,35.78,38.53,16.63
0.4992,41.66,36.58,39.99,18.95
0.5108,43.40,37.60,42.00,21.93
0.5224,44.72,38.65,43.40,23.57
0.5341,44.90,37.55,43.95,22.82
0.5457,44.61,34.20,44.16,20.88
0.5573,42.51,28.07,42.33,16.36
0.5689,37.18,21.45,37.03,14.55
0.5805,30.78,22.33,29.96,14.87
0.5921,26.46,22.21,24.30,6.81
0.6037,23.93,21.41,20.08,-11.69
0.6153,21.91,20.60,13.28,-15.63
0.6269,25.20,19.34,23.53,5.67
0.6385,36.67,24.18,36.35,16.44
0.6502,42.92,29.48,42.65,22.66
0.6618,45.74,32.29,45.49,23.99
0.6734,46.36,34.49,46.02,23.42
0.6850,44.06,35.78,43.31,21.68
0.6966,37.75,34.54,34.87,15.95
0.7082,32.13,31.37,23.69,12.83
0.7198,29.90,28.05,23.63,17.56
0.7314,32.29,22.43,18.47,31.43
0.7430,34.64,22.75,14.34,34.25
0.7546,33.50,27.08,10.82,32.27
0.7663,32.21,27.97,9.00,29.95
0.7779,27.94,23.89,11.75,24.86
0.7895,25.55,23.78,16.96,14.74
0.8011,26.73,24.06,22.13,10.48
0.8127,28.09,25.21,23.97,11.47
0.8243,33.99,26.81,32.81,15.28
0.8359,40.76,30.29,40.12,21.81
0.8475,44.66,33.46,44.13,24.86
0.8591,46.32,34.75,45.89,23.91
0.8707,47.19,36.22,46.74,22.48
0.8824,46.28,36.20,45.76,20.44
0.8940,42.02,37.04,40.31,11.81
0.9056,42.79,37.38,41.29,6.03
0.9172,44.51,38.47,43.24,10.12
0.9288,45.42,39.08,44.26,12.10
0.9404,45.61,39.36,44.43,11.21
0.9520,44.10,39.40,42.29,6.24
0.9636,38.41,35.57,35.12,-0.44
0.9752,28.63,27.79,19.70,0.63
0.9868,25.59,21.57,21.86,17.29
0.9985,31.07,19.08,28.32,26.48
1.0101,34.02,19.77,31.39,29.43
1.0217,33.92,24.63,31.44,28.16
1.0333,32.99,26.05,30.96,24.63
1.0449,34.37,32.21,29.96,17.76
1.0565,40.70,38.55,36.57,9.55
1.0681,44.73,39.59,43.13,11.31
1.0797,46.87,39.31,46.01,16.73
1.0913,46.82,38.24,46.11,20.20
1.1029,45.44,36.50,44.74,21.21
1.1146,45.16,34.36,44.72,19.75
1.1262,44.79,32.43,44.51,16.80
1.1378,42.69,31.80,42.31,13.11
1.1494,37.04,28.45,36.38,5.88
1.1610,25.76,20.59,23.47,11.84
1.1726,24.65,18.76,19.23,19.99
1.1842,25.19,20.35,16.86,21.27
1.1958,26.47,24.56,11.67,20.07
1.2074,25.69,22.60,10.33,20.73
1.2190,25.63,20.44,9.20,22.66
1.2307,27.33,23.16,8.35,23.70
1.2423,29.83,27.97,13.02,23.11
1.2539,34.37,30.09,31.92,19.13
1.2655,41.87,29.29,41.60,10.05
1.2771,45.65,31.40,45.48,9.02
1.2887,47.11,31.60,46.98,10.26
1.3003,47.71,32.34,47.57,10.77
1.3119,47.38,33.44,47.19,9.94
1.3235,47.17,33.35,46.97,6.87
1.3351,47.06,34.70,46.78,7.54
1.3468,47.31,35.88,46.97,11.38
1.3584,47.16,37.01,46.70,12.77
1.3700,46.82,37.23,46.30,11.67
1.3816,45.81,36.53,45.23,9.81
1.3932,41.13,34.10,40.07,7.27
1.4048,40.97,36.67,38.84,0.99
1.4164,45.31,37.74,44.45,6.08
1.4280,46.50,35.46,46.14,11.42
1.4396,47.06,34.46,46.79,18.68
1.4512,46.88,32.82,46.62,22.46
1.4629,45.37,30.68,45.05,22.50
1.4745,42.89,29.12,42.53,19.49
1.4861,38.64,28.20,38.06,11.63
1.4977,32.47,27.09,30.53,3.02
1.5093,26.25,23.91,19.85,-0.21
1.5209,26.68,26.10,10.75,5.32
1.5325,24.86,22.44,11.85,19.24
1.5441,28.74,15.77,14.58,28.22
1.5557,32.39,17.25,14.49,32.11
1.5673,32.77,23.60,16.24,31.95
1.5790,29.66,27.13,14.07,25.48
1.5906,27.14,26.53,16.51,7.82
1.6022,35.68,34.70,28.57,-0.85
1.6138,40.83,40.26,31.68,-0.91
1.6254,42.36,41.67,34.00,0.23
1.6370,42.66,40.66,38.31,-0.26
1.6486,44.09,37.66,42.95,0.45
1.6602,44.76,35.18,44.23,3.24
1.6718,44.68,34.65,44.18,6.59
1.6834,44.03,34.79,43.42,8.43
1.6951,43.99,34.84,43.37,10.62
1.7067,43.74,35.70,42.96,11.84
1.7183,43.85,37.30,42.73,14.28
1.7299,43.47,38.41,41.80,16.62
1.7415,43.40,38.25,41.75,16.63
1.7531,43.73,37.22,42.57,18.05
1.7647,44.26,38.35,42.91,18.61
1.7763,44.70,39.60,43.03,18.59
1.7879,44.03,39.95,41.80,18.61
1.7995,42.54,40.14,38.70,18.66
1.8112,41.07,39.90,34.61,16.88
1.8228,38.96,38.20,30.70,13.60
1.8344,34.36,33.55,25.51,9.15
1.8460,28.48,26.97,18.44,3.55
1.8576,26.23,23.97,11.75,-3.60
1.8692,25.75,23.88,8.18,-11.28
1.8808,23.59,21.02,9.02,-16.69
1.8924,24.39,22.76,6.60,-0.18
1.9040,26.22,23.44,14.58,18.58
1.9156,29.67,25.03,24.04,23.52
1.9273,37.49,31.43,35.76,25.15
1.9389,42.10,31.46,41.62,23.23
1.9505,46.13,34.24,45.80,21.52
1.9621,48.78,36.04,48.49,25.56
1.9737,49.49,37.85,49.14,24.54
1.9853,49.87,39.18,49.45,21.92
1.9969,49.31,39.26,48.82,25.11
2.0085,45.78,40.53,44.19,22.38
2.0201,44.26,43.52,36.19,10.07
2.0317,45.20,44.58,36.37,10.96
2.0434,46.41,45.79,37.59,11.72
2.0550,47.16,46.51,38.55,11.22
2.0666,47.13,46.28,39.65,10.23
2.0782,47.30,45.52,42.55,9.56
2.0898,47.74,43.86,45.45,7.06
2.1014,47.27,41.70,45.85,7.96
2.1130,46.54,39.98,45.46,9.12
2.1246,46.08,38.54,45.24,9.59
2.1362,45.88,38.04,45.09,9.16
2.1478,45.91,37.96,45.15,10.44
2.1595,46.63,38.12,45.96,15.53
2.1711,47.09,37.80,46.54,16.68
2.1827,44.17,37.64,43.07,10.64
2.1943,39.80,36.25,37.25,5.78
2.2059,46.05,38.28,45.25,13.94
2.2175,48.76,40.75,48.00,16.25
2.2291,49.29,41.57,48.48,17.27
2.2407,49.42,41.57,48.64,19.46
2.2523,49.50,41.23,48.79,21.23
2.2639,49.71,40.77,49.11,21.41
2.2756,49.82,39.96,49.33,19.92
2.2872,49.53,39.74,49.04,15.29
2.2988,47.68,39.59,46.93,7.55
2.3104,43.08,39.86,40.22,7.60
2.3220,42.40,41.43,35.30,10.20
2.3336,42.76,41.42,36.92,12.12
2.3452,43.22,41.55,38.21,10.48
2.3568,43.21,41.18,38.85,7.52
2.3684,43.30,40.38,40.14,6.22
2.3800,44.90,39.11,43.55,4.18
2.3917,46.71,36.74,46.23,8.39
2.4033,46.46,35.10,46.10,12.63
2.4149,45.72,34.07,45.38,16.21
2.4265,45.44,34.18,45.05,18.23
2.4381,45.14,34.61,44.69,19.68
2.4497,44.77,34.64,44.26,21.10
2.4613,44.83,34.86,44.31,20.68
2.4729,45.35,34.63,44.94,17.90
2.4845,45.66,35.38,45.22,13.00
2.4961,43.88,35.87,43.13,4.59
2.5078,42.91,36.79,41.67,4.78
2.5194,44.92,38.49,43.77,9.12
2.5310,47.72,38.82,47.11,13.12
2.5426,49.63,37.89,49.32,15.19
2.5542,49.95,37.00,49.72,14.22
2.5658,48.65,36.76,48.35,12.93
2.5774,47.51,36.88,47.12,11.76
2.5890,45.25,36.22,44.66,7.87
2.6006,38.78,34.13,36.95,-1.50
2.6122,33.92,33.36,24.59,-14.08
2.6239,33.28,32.50,25.32,-16.29
2.6355,38.45,34.12,36.43,-4.05
2.6471,45.14,36.88,44.42,4.91
2.6587,46.89,37.63,46.32,8.54
2.6703,45.31,36.93,44.61,8.57
2.6819,43.42,37.22,42.20,5.31
2.6935,43.98,37.76,42.78,1.80
2.7051,43.94,37.60,42.77,-0.53
2.7167,41.19,36.39,39.41,-0.94
2.7283,33.79,30.80,30.55,9.34
2.7400,28.81,21.52,18.63,26.90
2.7516,34.28,24.66,16.31,33.50
2.7632,35.46,26.02,20.51,34.38
2.7748,36.26,23.62,25.38,34.29
2.7864,36.29,25.59,27.92,32.52
2.7980,34.55,29.26,28.72,27.70
2.8096,39.62,35.96,36.90,20.15
2.8212,43.82,37.25,42.66,15.14
2.8328,44.69,37.40,43.73,14.29
2.8444,44.01,38.05,42.67,14.14
2.8561,43.10,37.95,41.46,14.89
2.8677,42.46,37.69,40.65,16.12
2.8793,41.46,37.10,39.37,20.30
2.8909,38.20,34.51,34.92,26.97
2.9025,34.88,29.26,23.13,32.66
2.9141,34.20,25.52,13.29,33.25
2.9257,28.40,20.11,7.49,27.07
2.9373,24.33,22.70,5.81,12.19
2.9489,26.35,25.22,4.73,-0.23
2.9605,24.61,22.33,2.73,-10.18
2.9722,25.61,24.26,2.74,-14.99
2.9838,24.43,22.80,12.63,0.29
2.9954,33.47,24.80,32.70,9.27
3.0070,43.30,31.76,42.96,17.64
3.0186,45.76,33.16,45.49,21.15
3.0302,45.44,35.02,44.98,22.27
3.0418,45.31,36.17,44.70,20.69
3.0534,45.39,36.67,44.73,18.52
3.0650,44.43,36.94,43.56,15.15
3.0766,42.44,37.64,40.68,11.51
3.0883,40.89,39.61,34.89,5.10
3.0999,41.64,40.99,33.04,2.97
3.1115,42.14,41.45,33.81,3.83
3.1231,41.93,41.24,33.55,3.23
3.1347,40.80,40.20,31.83,1.05
3.1463,39.10,38.59,29.48,-4.48
3.1579,36.50,36.02,26.51,-6.72
3.1695,36.40,33.70,33.00,7.37
3.1811,43.07,34.62,42.38,15.43
3.1927,45.46,34.34,45.09,15.81
3.2044,45.25,32.71,44.97,13.37
3.2160,45.85,32.15,45.62,12.27
3.2276,45.38,32.73,45.10,9.99
3.2392,44.72,30.55,44.51,10.04
3.2508,43.91,29.25,43.74,8.27
3.2624,43.05,28.93,42.86,0.68
3.2740,41.62,28.84,41.36,0.79
3.2856,38.38,28.24,37.88,-0.99
3.2972,34.19,26.22,33.32,-4.26
3.3088,28.67,24.69,25.98,-6.05
3.3205,23.11,20.07,16.42,-6.36
3.3321,22.81,20.09,9.34,-1.63
3.3437,25.30,23.00,14.78,4.32
3.3553,24.87,21.70,18.89,8.21
3.3669,24.95,19.43,21.97,10.39
3.3785,33.55,28.20,31.87,9.21
3.3901,38.78,33.63,37.16,0.85
3.4017,40.10,35.38,38.31,-0.06
3.4133,39.47,36.37,36.52,4.78
3.4249,37.62,34.89,34.26,3.26
3.4366,32.64,30.08,28.72,-5.09
3.4482,25.95,23.36,19.63,-13.38
3.4598,23.64,21.82,12.59,-7.54
3.4714,21.44,19.46,11.54,-5.30
3.4830,19.41,16.49,6.66,-12.08
3.4946,22.72,20.99,9.98,-4.37
3.5062,28.44,21.51,27.04,7.53
3.5178,37.52,25.83,37.13,15.32
3.5294,42.30,29.99,41.98,19.89
3.5410,44.71,33.63,44.31,21.78
3.5527,45.28,35.71,44.74,20.87
3.5643,42.41,34.93,41.52,18.00
3.5759,34.18,30.50,31.70,10.84
3.5875,27.13,26.70,12.84,11.79
3.5991,29.61,27.52,10.51,24.42
3.6107,33.68,26.51,9.96,32.60
3.6223,34.49,21.37,9.62,34.22
3.6339,32.35,16.89,7.39,32.18
3.6455,27.45,13.40,9.34,27.08
3.6571,22.48,20.36,8.07,16.30
3.6688,24.03,23.52,2.27,-2.26
3.6804,22.19,20.29,10.21,2.82
3.6920,25.61,20.70,21.71,10.28
3.7036,28.58,21.97,26.09,13.40
3.7152,35.60,26.64,34.78,16.56
3.7268,41.24,31.39,40.69,18.95
3.7384,44.28,33.58,43.85,19.69
3.7500,45.92,33.91,45.61,19.82
3.7616,46.53,35.42,46.13,18.09
3.7732,45.71,37.07,45.00,16.83
3.7849,42.93,36.56,41.73,12.61
3.7965,39.19,37.45,34.32,4.98
3.8081,40.81,40.32,30.77,6.68
3.8197,41.83,41.29,32.01,8.07
3.8313,41.87,41.29,32.37,5.87
3.8429,40.50,39.73,32.33,1.65
3.8545,36.25,35.06,29.37,18.23
3.8661,32.59,25.91,23.34,30.48
3.8777,34.55,20.30,12.35,34.23
3.8893,34.98,20.80,7.31,34.72
3.9010,35.04,18.67,6.83,34.88
3.9126,36.92,18.91,8.64,36.77
3.9242,36.36,26.46,16.14,35.72
3.9358,36.81,31.38,33.92,29.43
3.9474,43.47,35.92,42.58,19.30
3.9590,44.79,37.40,43.88,15.14
3.9706,39.97,34.91,38.25,8.69
3.9822,30.26,28.78,22.93,-2.02
3.9938,23.79,22.35,10.46,-13.80
4.0054,21.44,20.14,1.87,-21.27
4.0171,19.87,19.42,2.28,-26.84
4.0287,18.13,17.13,2.54,-29.55
4.0403,19.20,18.14,1.86,-29.93
4.0519,22.11,21.73,3.22,-24.26
4.0635,23.67,21.60,19.22,-11.19
4.0751,37.69,31.30,36.55,-7.36
4.0867,45.44,36.27,44.87,7.67
4.0983,47.96,37.36,47.56,11.45
4.1099,48.32,38.02,47.90,8.98
4.1215,47.70,38.02,47.19,14.97
4.1332,46.57,37.12,46.01,20.86
4.1448,46.32,35.84,45.84,22.51
4.1564,46.09,33.77,45.77,21.12
4.1680,44.47,31.58,44.17,21.93
4.1796,41.75,31.53,41.24,19.02
4.1912,41.25,30.08,40.83,18.19
4.2028,39.57,29.52,39.04,13.03
4.2144,33.51,27.21,32.16,3.25
4.2260,24.58,22.56,18.89,-11.35
4.2376,24.15,23.10,8.78,-20.31
4.2493,26.71,25.43,14.97,-20.62
4.2609,31.40,30.48,21.95,-2.15
4.2725,36.35,33.35,33.12,8.42
4.2841,40.18,36.31,37.82,8.42
4.2957,42.51,40.01,38.84,2.88
4.3073,43.87,42.12,39.00,5.31
4.3189,45.78,42.36,43.11,15.51
4.3305,46.73,40.62,45.49,20.58
4.3421,46.54,39.55,45.54,22.58
4.3537,45.79,39.28,44.65,23.18
4.3654,44.25,38.95,42.68,22.28
4.3770,42.67,38.78,40.33,20.33
4.3886,41.58,38.64,38.46,15.13
4.4002,41.19,38.61,37.59,7.63
4.4118,41.20,38.21,37.83,5.55
4.4234,40.64,37.01,37.98,15.06
4.4350,39.45,36.50,34.59,23.53
4.4466,40.13,33.90,28.36,36.84
4.4582,42.75,27.61,25.35,42.36
4.4698,42.93,28.40,25.56,42.20
4.4815,39.84,30.57,23.23,38.58
4.4931,38.67,30.08,24.68,37.26
4.5047,40.03,35.44,23.34,36.41
4.5163,37.98,35.49,28.02,32.03
4.5279,42.05,36.68,40.43,21.36
4.5395,45.69,38.44,44.73,17.62
4.5511,46.43,38.23,45.70,15.72
4.5627,45.94,37.16,45.32,13.03
4.5743,43.46,35.95,42.60,11.27
4.5859,41.30,34.21,40.11,9.78
4.5976,40.15,36.88,37.12,8.13
4.6092,39.28,36.50,35.71,8.45
4.6208,39.46,36.32,35.78,9.58
4.6324,39.68,37.83,34.93,8.98
4.6440,40.55,39.00,34.89,7.29
4.6556,38.92,37.55,32.73,5.39
4.6672,35.90,34.71,28.61,7.72
4.6788,36.22,35.26,24.53,22.32
4.6904,38.01,35.50,24.66,32.76
4.7020,39.73,33.90,28.06,36.68
4.7137,39.53,33.81,30.39,34.92
4.7253,41.44,38.10,36.98,29.69
4.7369,47.23,40.66,46.10,19.96
4.7485,48.00,39.63,47.26,9.38
4.7601,40.95,34.29,39.48,3.28
4.7717,33.57,31.63,22.65,1.32
4.7833,32.12,30.24,22.78,0.27
4.7949,34.39,32.85,22.92,-0.91
4.8065,33.32,32.18,24.49,0.15
4.8181,31.46,29.61,25.32,4.39
4.8298,35.95,34.24,29.12,12.11
4.8414,37.01,35.30,30.86,15.53
4.8530,37.34,35.12,32.63,15.03
4.8646,37.32,34.79,32.85,14.48
4.8762,35.59,32.92,31.84,15.19
4.8878,35.21,32.00,31.65,15.29
4.8994,37.64,32.34,35.55,14.78
4.9110,41.53,33.99,40.59,14.29
4.9226,43.13,35.12,42.23,13.81
4.9342,43.48,32.84,42.96,13.16
4.9459,43.28,34.01,42.55,12.38
4.9575,42.66,34.22,41.74,11.36
4.9691,42.10,35.06,41.07,10.98
4.9807,40.86,33.42,39.66,10.44
4.9923,40.53,35.27,38.81,7.91
5.0039,40.42,34.56,38.95,6.99
5.0155,40.38,33.02,39.32,7.53
5.0271,40.60,32.10,39.85,6.91
5.0387,40.68,34.84,39.14,8.91
5.0503,39.75,34.39,38.01,13.10
5.0620,40.40,36.84,37.64,13.89
5.0736,42.39,40.11,38.11,13.77
5.0852,44.11,41.92,39.76,15.83
5.0968,43.95,41.03,40.62,18.91
5.1084,42.87,39.95,39.65,19.56
5.1200,41.36,39.05,37.00,19.49
5.1316,39.59,37.91,33.99,17.74
5.1432,37.10,35.84,30.71,12.63
5.1548,33.51,32.34,24.49,5.33
5.1664,30.23,29.81,17.83,-2.83
5.1780,30.96,30.53,13.22,-12.10
5.1897,31.23,30.61,14.17,-18.01
5.2013,30.15,29.83,11.77,-16.80
5.2129,28.62,28.12,13.61,-11.74
5.2245,25.70,24.71,16.32,-8.33
5.2361,25.66,24.73,15.39,-6.93
5.2477,27.39,25.93,17.59,-5.96
5.2593,24.93,24.47,13.66,-8.19
5.2709,23.56,22.87,9.58,-14.52
5.2825,25.82,24.22,19.02,-0.83
5.2941,30.72,24.21,29.40,13.16
5.3058,35.05,24.73,34.09,22.78
5.3174,37.80,24.60,36.40,28.61
5.3290,38.11,26.25,36.03,31.18
5.3406,43.06,33.30,42.23,29.67
5.3522,47.37,35.61,47.01,22.91
5.3638,48.54,35.00,48.30,16.15
5.3754,46.20,34.89,45.81,8.62
5.3870,44.31,35.90,43.62,6.60
5.3986,46.00,36.20,45.51,10.44
5.4102,46.95,36.65,46.52,11.76
5.4219,46.80,36.56,46.37,10.57
5.4335,45.41,36.34,44.83,8.53
5.4451,43.60,38.26,42.10,6.31
5.4567,39.67,36.92,36.37,7.58
5.4683,30.59,29.13,25.05,7.13
5.4799,25.26,18.29,23.69,14.29
5.4915,30.91,20.52,29.92,19.91
5.5031,34.44,23.00,33.67,22.56
5.5147,35.61,24.53,34.87,21.92
5.5263,35.63,25.08,34.89,21.21
5.5380,34.77,25.59,33.88,20.88
5.5496,35.61,27.38,34.67,20.11
5.5612,40.54,28.91,40.18,20.05
5.5728,44.38,29.34,44.23,17.93
5.5844,45.19,28.33,45.09,17.18
5.5960,44.87,27.58,44.78,15.60
5.6076,44.38,26.92,44.29,14.65
5.6192,44.47,26.28,44.39,12.84
5.6308,43.52,26.69,43.42,11.02
5.6424,43.52,27.91,43.38,7.84
5.6541,42.86,29.94,42.60,7.78
5.6657,41.54,31.88,41.00,4.57
5.6773,38.82,34.99,36.46,2.36
5.6889,40.06,39.30,32.08,6.21
5.7005,41.44,40.94,31.80,5.34
5.7121,40.64,39.98,32.13,3.47
5.7237,36.69,35.76,29.54,4.07
5.7353,30.69,28.38,26.79,7.53
5.7469,28.49,18.91,27.88,11.73
5.7585,30.86,7.18,30.76,13.47
5.7702,33.71,5.21,33.61,16.83
5.7818,30.81,12.79,30.51,17.67
5.7934,29.36,11.85,28.95,17.78
5.8050,30.76,11.65,30.51,17.06
5.8166,31.11,13.41,30.90,15.49
5.8282,35.33,32.44,32.12,14.09
5.8398,42.36,38.71,39.89,12.45
5.8514,45.32,39.69,43.92,12.98
5.8630,46.15,39.23,45.15,12.51
5.8746,46.41,39.81,45.33,11.45
5.8863,46.40,41.18,44.84,11.59
5.8979,45.87,41.42,43.93,11.69
5.9095,45.47,41.16,43.45,11.57
5.9211,45.65,41.06,43.80,11.52
5.9327,45.68,40.55,44.08,10.67
5.9443,44.63,39.25,43.14,10.56
5.9559,43.27,37.44,41.95,12.27
5.9675,42.26,35.96,41.09,13.70
5.9791,41.12,34.36,40.09,12.37
5.9907,39.47,32.36,38.52,8.18
6.0024,35.71,29.17,34.62,0.84
6.0140,26.94,23.20,24.55,-6.64
6.0256,16.09,15.29,8.29,-14.40
6.0372,5.13,4.39,-3.01,-22.87
6.0488,6.82,6.25,-2.42,-20.43
6.0604,7.70,7.40,-4.19,-21.60
6.0720,1.97,1.83,-13.39,-26.87
6.0836,-1.99,-2.29,-14.13,-28.08
6.0952,-5.72,-7.16,-11.65,-24.63
6.1068,-5.60,-9.59,-8.42,-19.06
6.1185,20.22,10.36,19.60,2.31
6.1301,30.65,22.47,29.50,17.44
6.1417,32.86,23.25,31.10,23.92
6.1533,35.20,15.65,33.85,26.35
6.1649,34.93,12.28,33.95,24.72
6.1765,35.19,24.95,34.32,21.80
6.1881,41.87,33.05,41.21,17.49
6.1997,46.99,36.37,46.59,11.79
6.2113,45.39,37.68,44.58,3.00
6.2229,42.47,40.21,38.55,0.09
6.2346,45.05,42.72,41.23,4.87
6.2462,46.02,44.06,41.61,7.43
6.2578,45.69,44.15,40.42,10.06
6.2694,45.09,43.76,39.27,11.68
6.2810,44.01,42.80,37.85,11.16
6.2926,42.89,41.82,36.26,11.06
6.3042,42.34,41.37,35.28,12.46
6.3158,41.87,41.02,34.34,11.28
6.3274,41.72,41.03,33.38,8.04
6.3390,42.55,40.73,37.88,8.17
6.3507,45.73,38.84,44.73,8.56
6.3623,46.57,36.05,46.16,10.26
6.3739,45.62,35.51,45.14,13.15
6.3855,44.23,35.92,43.47,14.38
6.3971,42.88,36.83,41.45,17.53
6.4087,42.01,37.50,39.76,19.25
6.4203,41.76,37.85,39.12,17.30
6.4319,41.85,38.13,39.12,16.44
6.4435,42.24,38.47,39.68,13.53
6.4551,41.67,37.96,39.18,8.52
6.4668,39.61,37.94,34.63,2.22
6.4784,39.60,38.70,32.31,3.41
6.4900,40.12,39.04,33.50,5.02
6.5016,40.40,39.05,34.67,5.19
6.5132,39.83,38.14,34.91,5.85
6.5248,40.17,37.52,36.76,5.32
6.5364,41.36,36.57,39.57,11.05
6.5480,39.60,35.21,37.55,13.15
6.5596,38.35,36.01,34.49,10.28
6.5712,37.87,35.64,33.90,6.43
6.5829,35.32,32.77,31.78,0.48
6.5945,30.55,27.60,27.47,-7.21
6.6061,23.03,18.93,20.90,-13.04
6.6177,14.37,8.66,13.00,-15.79
6.6293,3.92,-1.05,2.03,-13.12
6.6409,33.10,20.13,32.84,6.16
6.6525,45.54,30.34,45.39,13.96
6.6641,48.40,33.51,48.24,14.74
6.6757,46.04,35.00,45.68,10.72
6.6873,42.73,36.88,41.42,6.34
6.6990,41.50,38.14,38.81,7.23
6.7106,41.53,38.56,38.47,9.47
6.7222,41.75,38.53,38.92,9.92
6.7338,41.14,37.25,38.85,10.46
6.7454,38.54,34.95,35.63,25.27
6.7570,39.01,30.96,27.35,37.84
6.7686,43.64,21.85,17.97,43.58
6.7802,44.17,6.70,12.81,44.16
6.7918,40.15,-5.41,9.90,40.14
6.8034,38.22,-5.70,10.55,38.18
6.8151,36.83,1.65,12.51,36.75
6.8267,34.80,24.58,24.59,33.72
6.8383,40.32,34.98,38.50,25.48
6.8499,45.52,39.10,44.34,17.88
6.8615,47.25,38.59,46.61,13.78
6.8731,45.43,35.15,45.00,10.68
6.8847,42.05,33.12,41.45,8.04
6.8963,39.78,31.94,39.00,5.03
6.9079,38.13,31.18,37.15,3.33
6.9195,37.23,31.09,36.02,1.10
6.9312,36.97,31.02,35.69,-0.90
6.9428,36.98,30.32,35.93,-0.87
6.9544,37.08,29.74,36.19,0.08
6.9660,36.90,29.38,36.05,-1.54
6.9776,36.83,29.11,36.03,-1.95
6.9892,36.66,29.25,35.79,-3.32
7.0008,36.38,29.94,35.25,-6.59
7.0124,36.28,30.45,34.96,2.11
7.0240,37.36,34.35,34.32,12.02
7.0356,40.33,38.76,35.05,16.30
7.0473,42.95,39.40,40.40,16.85
7.0589,43.27,38.73,41.37,17.01
7.0705,42.15,39.05,39.21,15.43
7.0821,40.98,39.27,36.09,11.56
7.0937,39.49,38.70,31.70,5.51
7.1053,36.59,36.03,27.44,2.67
7.1169,31.21,30.55,22.66,-0.24
7.1285,22.41,21.65,14.38,-3.18
7.1401,11.98,9.10,8.61,-6.39
7.1517,0.42,-5.52,-1.10,-15.96
7.1634,-11.65,-15.62,-15.34,-24.59
7.1750,-10.37,-16.78,-12.69,-22.69
7.1866,-5.54,-18.18,-6.42,-18.79
7.1982,-2.17,-16.14,-2.85,-15.18
7.2098,0.38,-14.61,-0.14,-13.27
7.2214,-0.20,-12.95,-0.76,-14.14
7.2330,-8.43,-17.60,-9.43,-22.67
7.2446,-26.52,-36.18,-32.03,-37.38
7.2562,-26.75,-42.59,-30.64,-36.59
7.2678,1.39,-15.54,-0.01,-4.59
7.2795,20.26,-1.07,19.93,8.42
7.2911,23.44,1.04,23.26,8.93
7.3027,23.75,20.36,20.99,4.54
7.3143,39.67,36.58,36.74,7.22
7.3259,48.07,41.19,47.07,13.83
7.3375,50.97,40.74,50.53,16.75
7.3491,50.80,39.92,50.42,19.80
7.3607,48.42,38.84,47.88,22.95
7.3723,42.53,35.94,41.36,20.78
7.3839,33.98,31.90,29.70,9.48
7.3956,25.93,25.05,18.28,5.79
7.4072,27.58,16.53,15.56,26.67
7.4188,37.03,29.14,33.15,32.31
7.4304,46.28,37.41,45.30,28.22
7.4420,50.59,38.78,50.14,22.10
7.4536,51.65,37.93,51.38,21.93
7.4652,49.93,36.94,49.66,18.02
7.4768,44.48,36.06,43.78,10.61
7.4884,36.60,35.01,31.47,-4.02
7.5000,35.95,34.60,30.21,-8.30
7.5117,38.10,35.41,34.75,-5.74
7.5233,44.97,35.86,44.40,6.39
7.5349,49.42,33.98,49.29,13.71
7.5465,49.44,33.56,49.33,14.57
7.5581,48.96,33.23,48.84,13.80
7.5697,49.43,32.12,49.34,12.47
7.5813,48.82,30.50,48.76,11.76
7.5929,47.14,30.17,47.05,8.88
7.6045,43.81,29.69,43.63,2.97
7.6161,41.38,28.46,41.15,0.35
7.6278,38.89,26.38,38.64,-0.64
7.6394,32.07,20.25,31.77,2.57
7.6510,19.87,11.83,19.02,2.39
