t,flux_score,centroid_hz,high_ratio,low_ratio
35.7123,0.0517,1520,0.002,0.063
36.0838,0.2120,1557,0.005,0.144
36.3276,0.2414,3835,0.028,0.407
36.6643,0.3226,1357,0.001,0.102
36.8965,0.2046,2125,0.006,0.057
37.0939,0.0720,1621,0.001,0.023
37.2564,0.4563,1331,0.001,0.178
37.5234,0.1109,1917,0.005,0.349
37.8717,0.0995,686,0.000,0.424
38.0343,0.4162,1231,0.002,0.069
38.3013,0.1737,1482,0.001,0.123
38.8238,0.3278,1046,0.000,0.521
38.9631,0.5875,1122,0.000,0.120
39.2185,0.3883,1179,0.001,0.177
39.4391,0.3792,3182,0.016,0.198
39.6016,0.1974,1679,0.001,0.816
39.9499,0.2509,940,0.000,0.096
40.1937,0.2942,1028,0.000,0.465
40.3679,0.1618,1016,0.000,0.345
40.8555,0.3396,1366,0.002,0.247
41.1341,0.2199,1423,0.001,0.277
41.3431,0.2364,1998,0.008,0.310
41.5985,0.1552,921,0.000,0.057
41.8424,0.0858,912,0.000,0.633
42.2603,0.2015,1479,0.001,0.029
42.4577,0.1718,1338,0.000,0.828
42.6551,0.2456,792,0.000,0.277
42.8292,0.1383,1134,0.000,0.458
43.2123,0.0936,2566,0.010,0.000
43.5490,0.2038,803,0.000,0.370
43.7232,0.2269,1249,0.000,0.800
43.8973,0.2788,1573,0.001,0.549
44.3385,0.1640,1191,0.001,0.444
44.5243,0.6130,1060,0.000,0.048
44.7565,0.1638,789,0.000,0.097
45.1280,0.4593,957,0.000,0.251
45.6388,0.1799,744,0.000,0.238
45.7898,0.1213,1245,0.001,0.203
45.9291,0.0565,1561,0.001,0.179
46.3354,0.2657,870,0.000,0.228
46.5676,0.2124,1037,0.001,0.265
46.7882,0.1891,707,0.000,0.216
47.0320,0.0698,967,0.000,0.611
47.1597,0.0419,1081,0.000,0.229
47.5080,0.2500,683,0.000,0.610
47.6822,0.5496,1273,0.000,0.207
47.8912,0.2668,908,0.001,0.375
48.1001,0.1371,808,0.000,0.176
48.4949,0.2519,723,0.000,0.406
48.6458,0.5594,1173,0.000,0.149
48.8432,0.2518,880,0.000,0.310
49.0405,0.1682,1625,0.002,0.504
49.4701,0.3709,1344,0.002,0.132
49.6094,0.4067,1259,0.004,0.370
49.7371,0.0958,1329,0.002,0.138
50.0390,0.2786,1986,0.002,0.377
50.2132,0.0627,1158,0.000,0.603
50.3989,0.1540,834,0.000,0.695
50.5847,0.2954,1937,0.003,0.105
50.8285,0.2508,1837,0.002,0.107
51.2464,0.1274,2090,0.003,0.667
51.4786,0.1702,1139,0.001,0.080
51.6180,0.3343,1383,0.002,0.145
51.9546,0.3212,1625,0.002,0.057
52.0824,0.2447,1752,0.002,0.309
52.5700,0.2407,1826,0.004,0.249
52.8022,0.3736,1824,0.002,0.100
52.9763,0.2229,1892,0.004,0.102
53.1853,0.1544,1709,0.001,0.159
53.5336,0.5122,1416,0.001,0.169
53.6845,0.1112,1414,0.001,0.117
53.8355,0.3883,1321,0.000,0.298
54.0444,0.3840,1290,0.000,0.220
54.3579,0.2115,2546,0.012,0.469
54.6830,0.3773,1184,0.001,0.161
54.8455,0.2175,1074,0.000,0.108
55.0429,0.3162,1068,0.001,0.129
55.2054,0.1496,1094,0.001,0.098
55.6466,0.1931,796,0.000,0.702
55.8324,0.4306,1493,0.001,0.250
55.9601,0.1992,1196,0.000,0.422
56.3316,0.4170,1226,0.002,0.243
56.4825,0.1442,1564,0.001,0.107
56.9005,0.3026,1357,0.000,0.201
57.3417,0.3526,7489,0.990,0.000
57.5855,0.1902,7284,0.974,0.014
57.8990,0.5070,1505,0.001,0.197
58.1079,0.1216,1580,0.001,0.322
58.2705,0.3395,1336,0.001,0.276
58.4098,0.0907,2713,0.012,0.704
58.6072,0.6624,1343,0.001,0.109
58.8161,0.3409,1198,0.001,0.189
59.0483,0.1680,1520,0.003,0.094
59.1761,0.4177,1375,0.005,0.104
59.3734,0.0937,1214,0.001,0.047
59.7101,0.2121,819,0.000,0.383
59.9075,0.2545,1378,0.003,0.184
60.1049,0.2731,1500,0.002,0.169
60.2326,0.2915,829,0.001,0.347
60.3719,0.4806,1146,0.000,0.035
60.5112,0.1163,1056,0.001,0.201
60.7086,0.1125,1118,0.001,0.404
60.8595,0.3120,1897,0.007,0.161
61.0453,0.2395,1639,0.012,0.342
61.4284,0.3816,1360,0.002,0.106
61.5677,0.2816,1233,0.001,0.130
61.7651,0.2002,948,0.000,0.606
61.9508,0.1727,865,0.000,0.126
62.2063,0.1550,1379,0.004,0.124
62.3804,0.1991,1431,0.002,0.212
62.5197,0.1234,1280,0.001,0.085
62.8796,0.3804,1633,0.006,0.254
63.0422,0.1968,912,0.000,0.625
63.3208,0.2503,1094,0.001,0.057
63.4601,0.1104,2723,0.016,0.593
63.6459,0.1907,1421,0.004,0.356
63.9013,0.3659,1525,0.004,0.153
64.2032,0.0576,1960,0.006,0.799
64.7605,0.1807,1632,0.004,0.410
64.9694,0.6094,1220,0.001,0.052
65.1204,0.3240,883,0.000,0.625
65.4338,0.3304,959,0.001,0.115
65.6893,0.1635,1965,0.004,0.127
66.0376,0.0904,516,0.000,0.668
66.1769,0.1526,4778,0.553,0.000
66.3975,0.2386,902,0.000,0.072
66.5252,0.1476,843,0.001,0.335
66.7922,0.3087,1504,0.002,0.105
66.9547,0.1107,7534,0.987,0.000
67.1985,0.1807,1723,0.008,0.215
67.3843,0.4153,1152,0.001,0.332
67.5817,0.1178,1928,0.003,0.601
67.7326,0.3952,1129,0.001,0.120
67.9416,0.3179,1172,0.001,0.076
68.5685,0.2296,1442,0.001,0.202
68.7543,0.6995,1531,0.002,0.075
68.9284,0.3621,1430,0.001,0.064
69.1258,0.2059,1714,0.003,0.128
69.3348,0.1962,1682,0.003,0.260
69.6250,0.8572,1435,0.001,0.001
69.8688,0.2245,1799,0.003,0.183
70.1127,0.1676,1436,0.002,0.563
70.3565,0.0765,737,0.000,0.601
70.5654,0.5802,1387,0.001,0.377
70.7976,0.3453,1697,0.003,0.192
71.2853,0.3579,1692,0.005,0.118
71.4942,0.1396,582,0.000,0.631
71.6452,0.1862,962,0.000,0.584
71.8309,0.0561,1550,0.001,0.099
72.0863,0.2180,7682,0.678,0.009
72.2489,0.2576,822,0.000,0.359
72.5043,0.1910,2001,0.009,0.279
72.7597,0.3824,1216,0.001,0.171
72.8874,0.1593,1677,0.002,0.234
73.0732,0.0859,985,0.001,0.573
73.2473,0.1181,942,0.000,0.594
73.4215,0.3818,1563,0.002,0.151
73.9207,0.4024,1203,0.001,0.027
74.0833,0.1499,633,0.000,0.186
74.2110,0.1986,1711,0.002,0.750
74.4432,0.3028,799,0.000,0.313
74.6057,0.3884,1278,0.001,0.107
74.7450,0.1044,843,0.000,0.173
74.9656,0.2570,1544,0.002,0.129
75.0933,0.1854,1383,0.002,0.077
75.3139,0.3260,994,0.000,0.157
75.5577,0.1324,1466,0.001,0.060
75.7551,0.1491,1780,0.003,0.224
75.9525,0.2384,2120,0.005,0.069
76.2659,0.3519,923,0.000,0.343
76.4865,0.1767,1649,0.006,0.097
76.7071,0.2132,911,0.000,0.383
76.9161,0.1663,1321,0.001,0.078
77.3224,0.4450,987,0.000,0.138
77.5546,0.3193,1522,0.002,0.120
77.7520,0.1297,1285,0.003,0.506
77.9146,0.1346,885,0.001,0.724
78.4138,0.2316,800,0.000,0.590
78.6112,0.2856,816,0.000,0.504
78.8085,0.1862,1134,0.001,0.417
79.0059,0.2305,1400,0.001,0.096
79.3194,0.2022,923,0.000,0.151
79.5051,0.5545,1395,0.003,0.156
79.6444,0.0551,3819,0.063,0.565
79.8070,0.3793,1541,0.004,0.105
80.0044,0.1379,1908,0.005,0.295
80.3527,0.2248,4611,0.216,0.003
80.5036,0.4425,1544,0.003,0.161
80.6777,0.4047,6181,0.936,0.019
80.9215,0.1982,786,0.000,0.149
81.0725,0.1067,2006,0.007,0.210
81.3976,0.1271,633,0.000,0.915
81.6646,0.1081,960,0.001,0.514
81.8271,0.4286,964,0.000,0.055
82.0477,0.1712,2276,0.005,0.633
82.3263,0.1710,832,0.000,0.222
82.7095,0.3863,940,0.000,0.424
82.8720,0.0500,1748,0.008,0.026
82.9997,0.2597,859,0.000,0.153
83.1390,0.4344,1112,0.001,0.225
83.3364,0.1142,945,0.000,0.074
83.4990,0.2426,843,0.000,0.218
83.9634,0.3684,961,0.000,0.134
84.0911,0.0992,5112,0.839,0.032
84.2188,0.3306,1741,0.003,0.125
84.3465,0.1033,1851,0.005,0.022
84.5671,0.3544,994,0.001,0.310
84.7064,0.1679,1540,0.003,0.472
84.8573,0.0758,1666,0.004,0.149
