frame,t,diff
266,8.8667,0.01739
267,8.9000,0.01185
268,8.9333,0.00968
269,8.9667,0.00797
270,9.0000,0.00746
271,9.0333,0.00739
272,9.0667,0.00791
273,9.1000,0.00771
274,9.1333,0.00799
275,9.1667,0.01339
276,9.2000,0.00508
277,9.2333,0.00550
278,9.2667,0.00613
279,9.3000,0.00799
280,9.3333,0.01540
281,9.3667,0.01983
282,9.4000,0.02412
283,9.4333,0.02770
284,9.4667,0.03200
285,9.5000,0.03583
286,9.5333,0.03638
287,9.5667,0.03417
288,9.6000,0.02997
289,9.6333,0.02674
290,9.6667,0.02420
291,9.7000,0.01979
292,9.7333,0.01822
293,9.7667,0.01844
294,9.8000,0.01756
295,9.8333,0.01552
296,9.8667,0.01360
297,9.9000,0.01265
298,9.9333,0.01096
299,9.9667,0.00964
300,10.0000,0.00800
301,10.0333,0.00631
302,10.0667,0.00515
303,10.1000,0.00494
304,10.1333,0.00573
305,10.1667,0.00650
306,10.2000,0.00858
307,10.2333,0.01399
308,10.2667,0.01436
309,10.3000,0.01085
310,10.3333,0.00924
311,10.3667,0.01108
312,10.4000,0.00810
313,10.4333,0.01420
314,10.4667,0.01221
315,10.5000,0.01244
316,10.5333,0.00973
317,10.5667,0.01302
318,10.6000,0.00742
319,10.6333,0.00577
320,10.6667,0.00393
321,10.7000,0.00478
322,10.7333,0.00570
323,10.7667,0.00412
324,10.8000,0.00363
325,10.8333,0.00393
326,10.8667,0.00455
327,10.9000,0.00718
328,10.9333,0.00689
329,10.9667,0.00851
330,11.0000,0.00930
331,11.0333,0.00387
332,11.0667,0.00768
333,11.1000,0.00748
334,11.1333,0.00433
335,11.1667,0.00705
336,11.2000,0.00718
337,11.2333,0.00464
338,11.2667,0.00601
339,11.3000,0.00505
340,11.3333,0.00453
341,11.3667,0.00460
342,11.4000,0.00574
343,11.4333,0.00535
344,11.4667,0.00624
345,11.5000,0.00538
346,11.5333,0.00438
347,11.5667,0.00504
348,11.6000,0.00296
349,11.6333,0.00167
350,11.6667,0.00154
351,11.7000,0.00135
352,11.7333,0.00125
353,11.7667,0.00320
354,11.8000,0.00411
355,11.8333,0.00393
356,11.8667,0.00350
357,11.9000,0.00272
358,11.9333,0.00291
359,11.9667,0.00550
360,12.0000,0.00351
361,12.0333,0.00519
362,12.0667,0.00509
363,12.1000,0.00710
364,12.1333,0.00563
365,12.1667,0.01107
366,12.2000,0.00909
367,12.2333,0.00691
368,12.2667,0.00631
369,12.3000,0.00450
370,12.3333,0.00422
371,12.3667,0.00563
372,12.4000,0.00415
373,12.4333,0.00460
374,12.4667,0.00293
375,12.5000,0.01729
376,12.5333,0.00459
377,12.5667,0.00499
378,12.6000,0.00513
379,12.6333,0.00393
380,12.6667,0.00543
381,12.7000,0.00501
382,12.7333,0.00714
383,12.7667,0.00943
384,12.8000,0.01200
385,12.8333,0.01092
386,12.8667,0.01407
387,12.9000,0.00864
388,12.9333,0.00398
389,12.9667,0.00162
390,13.0000,0.00176
391,13.0333,0.00219
392,13.0667,0.00293
393,13.1000,0.00274
394,13.1333,0.00353
395,13.1667,0.01428
396,13.2000,0.01337
397,13.2333,0.00661
398,13.2667,0.00854
399,13.3000,0.00630
400,13.3333,0.00453
401,13.3667,0.00674
402,13.4000,0.00883
403,13.4333,0.00856
404,13.4667,0.00924
405,13.5000,0.01029
406,13.5333,0.00883
407,13.5667,0.01077
408,13.6000,0.00641
409,13.6333,0.00357
410,13.6667,0.00439
411,13.7000,0.00670
412,13.7333,0.00310
413,13.7667,0.00591
414,13.8000,0.00688
415,13.8333,0.00607
416,13.8667,0.00715
417,13.9000,0.00590
418,13.9333,0.00632
419,13.9667,0.01034
420,14.0000,0.00860
421,14.0333,0.30109
422,14.0667,0.00744
423,14.1000,0.00904
